"","LNCaP_RNA-Seq_Empty_Vector_Normoxia_rep1","LNCaP_RNA-Seq_Empty_Vector_Normoxia_rep2","LNCaP_RNA-Seq_Empty_Vector_Hypoxia_rep1","LNCaP_RNA-Seq_Empty_Vector_Hypoxia_rep2","PC3_RNA-Seq_siCtrl_Normoxia_rep1","PC3_RNA-Seq_siCtrl_Normoxia_rep2","PC3_RNA-Seq_siCtrl_Hypoxia_rep1","PC3_RNA-Seq_siCtrl_Hypoxia_rep2"
"A1BG",96,188,94,126,6,5,5,1
"A2M",8,9,7,7,8,14,8,6
"NAT1",613,760,749,1149,77,158,133,45
"NAT2",31,34,29,33,0,1,2,0
"SERPINA3",158,217,75,55,5,16,5,4
"AADAC",0,0,0,0,19,43,61,34
"AAMP",2211,3305,2324,2641,485,1144,911,281
"AANAT",13,11,2,3,3,8,7,3
"AARS1",20563,26269,15867,18025,778,1790,1427,510
"ABAT",2269,2494,4441,4333,6,14,10,4
"ABCA1",55,45,17,17,339,996,1518,509
"ABCA2",3907,5907,8160,8451,93,216,235,93
"ABCA3",1288,2178,1946,2119,68,194,187,49
"ABCB7",1232,1376,891,1064,264,707,693,250
"ABCF1",5079,6863,5553,6450,821,2158,1759,578
"ABCA4",20,28,9,11,11,14,5,6
"ABL1",1891,2595,2531,2853,445,1099,1278,502
"AOC1",5,6,8,7,0,0,1,0
"ABL2",895,1000,954,1069,420,1147,1344,450
"ABO",9,7,3,7,0,0,0,0
"ABR",2693,3837,2597,2755,333,922,1025,375
"ACAA1",2178,3175,2230,2697,222,484,344,115
"ACACA",15676,18879,13037,15171,308,891,606,205
"ACACB",601,681,441,506,81,250,202,85
"ACADL",95,68,72,109,34,77,57,21
"ACADM",7373,7507,6219,7376,648,1713,1918,561
"ACADS",282,634,218,259,39,70,53,23
"ACADSB",5831,5453,6898,7961,292,834,811,266
"ACADVL",17460,26549,22766,25177,1643,4054,5027,1829
"ACAT1",10811,13000,8238,9029,171,594,519,150
"ACAT2",2579,2906,2246,2776,311,904,994,329
"ASIC2",0,0,0,0,0,6,13,1
"ASIC1",321,404,312,311,82,208,167,72
"ACHE",60,81,64,42,7,24,22,7
"ACLY",15048,18299,21733,25840,1367,3283,3351,1250
"ACO1",3046,3926,2480,2666,691,1896,1620,569
"ACR",4,5,8,4,1,1,1,0
"ACO2",3842,5002,3081,3670,309,884,1219,441
"ACOX1",2441,3090,1817,2232,1132,2646,2429,808
