"","LNCaP_EV_Normoxia_rep1","LNCaP_EV_Normoxia_rep2","LNCaP_OC2_overexpress_Normoxia_rep1","LNCaP_OC2_overexpress_Normoxia_rep2","LNCaP_EV_Hypoxia_rep1","LNCaP_EV_Hypoxia_rep2","LNCaP_OC2_overexpress_Hypoxia_rep1","LNCaP_OC2_overexpress_Hypoxia_rep2","PC3_siCtrl_Normoxia_rep1","PC3_siCtrl_Normoxia_rep2","PC3_siOC2_Normoxia_siRNA1","PC3_siOC2_Normoxia_siRNA2","PC3_siCtrl_Hypoxia_rep1","PC3_siCtrl_Hypoxia_rep2","PC3_siOC2_Hypoxia_siRNA1","PC3_siOC2_Hypoxia_siRNA2"
"A1BG",96,188,98,118,94,126,135,104,6,5,15,33,5,1,2,12
"A2M",8,9,7,10,7,7,14,9,8,14,12,10,8,6,3,11
"NAT1",613,760,399,625,749,1149,623,522,77,158,169,207,133,45,32,144
"NAT2",31,34,10,25,29,33,31,22,0,1,7,8,2,0,1,10
"SERPINA3",158,217,60,110,75,55,101,72,5,16,9,6,5,4,0,3
"AAMP",2211,3305,1709,2072,2324,2641,1980,1366,485,1144,1577,1132,911,281,330,992
"AANAT",13,11,7,8,2,3,2,8,3,8,37,7,7,3,4,9
"AARS1",20563,26269,11381,15865,15867,18025,18917,12648,778,1790,4084,1911,1427,510,742,1476
"ABAT",2269,2494,1534,2298,4441,4333,4369,2724,6,14,7,13,10,4,5,19
"ABCA1",55,45,28,31,17,17,65,23,339,996,745,899,1518,509,311,1535
"ABCA2",3907,5907,2313,3567,8160,8451,6668,4281,93,216,271,167,235,93,58,164
"ABCA3",1288,2178,827,1196,1946,2119,1381,928,68,194,245,233,187,49,90,273
"ABCB7",1232,1376,586,959,891,1064,887,608,264,707,817,542,693,250,181,521
"ABCF1",5079,6863,3376,4758,5553,6450,4963,3732,821,2158,3080,2092,1759,578,680,1835
"ABCA4",20,28,9,21,9,11,39,18,11,14,32,17,5,6,1,25
"ABL1",1891,2595,1217,2012,2531,2853,4116,2700,445,1099,1323,960,1278,502,288,1173
"AOC1",5,6,7,7,8,7,4,5,0,0,6,2,1,0,0,3
"ABL2",895,1000,506,799,954,1069,1087,742,420,1147,2155,906,1344,450,833,1013
"ABR",2693,3837,2242,3318,2597,2755,4086,2327,333,922,1565,1642,1025,375,411,1695
"ACAA1",2178,3175,1581,2185,2230,2697,2196,1550,222,484,522,650,344,115,68,507
"ACACA",15676,18879,9998,15315,13037,15171,13274,9424,308,891,1171,849,606,205,273,676
"ACACB",601,681,384,637,441,506,593,401,81,250,507,248,202,85,109,169
"ACADL",95,68,44,85,72,109,70,62,34,77,43,46,57,21,2,31
"ACADM",7373,7507,4652,6896,6219,7376,5643,4332,648,1713,1943,1576,1918,561,514,1788
"ACADS",282,634,211,309,218,259,303,177,39,70,119,67,53,23,22,74
"ACADSB",5831,5453,4031,5251,6898,7961,6153,4283,292,834,884,570,811,266,247,754
"ACADVL",17460,26549,14306,16981,22766,25177,22375,15030,1643,4054,5923,2771,5027,1829,1398,2991
"ACAT1",10811,13000,7841,11302,8238,9029,9203,6302,171,594,517,422,519,150,108,449
"ACAT2",2579,2906,1300,1904,2246,2776,1424,1322,311,904,1054,768,994,329,350,858
"ASIC2",0,0,2,0,0,0,2,1,0,6,2,84,13,1,0,65
"ASIC1",321,404,303,499,312,311,635,424,82,208,338,123,167,72,54,116
"ACHE",60,81,122,179,64,42,193,105,7,24,62,103,22,7,5,125
"ACLY",15048,18299,8293,11939,21733,25840,20849,13448,1367,3283,5328,3293,3351,1250,1285,3333
"ACO1",3046,3926,1967,2831,2480,2666,2333,1534,691,1896,1866,1258,1620,569,373,1178
"ACR",4,5,5,2,8,4,16,10,1,1,0,2,1,0,0,0
"ACO2",3842,5002,2500,3537,3081,3670,3717,2443,309,884,1211,1441,1219,441,294,1475
"ACOX1",2441,3090,2003,2955,1817,2232,2662,1696,1132,2646,5569,3586,2429,808,1362,3291
"ACP1",3044,3227,1647,2694,2370,2833,2678,1912,146,406,795,411,474,116,183,437
"ACP2",700,1101,480,655,574,694,726,461,57,180,182,207,153,45,20,164
"ACP5",16,26,6,15,15,7,7,9,3,3,12,5,0,1,3,1
"ACP3",1210,1405,591,822,321,401,366,258,21,44,31,14,69,28,17,37
"ACRV1",47,70,10,40,34,38,63,20,8,11,16,14,9,1,3,6
"ACTA1",12,5,1,1,8,7,6,9,4,3,6,5,4,2,1,4
"ACTA2",204,334,170,234,118,166,254,139,21,46,139,31,47,16,48,42
"ACTB",43911,59900,31187,47575,49130,57327,59951,41019,16084,41967,42782,34643,38695,14777,7889,34696
"ACTG1",30268,40665,22312,32225,36061,42130,56623,36094,5508,14106,32125,10571,13893,5629,7852,9965
"ACTG2",4,5,10,9,1,0,5,2,34,63,1068,8,53,17,272,11
