GeneID	GSM3145509	GSM3145510	GSM3145511	GSM3145512	GSM3145513	GSM3145514	GSM3145515	GSM3145516	GSM3145517	GSM3145518	GSM3145519	GSM3145520	GSM3145521	GSM3145522	GSM3145523	GSM3145524
100287102	15	20	10	13	18	23	11	12	4	11	16	9	7	3	2	9
653635	633	1044	462	695	882	980	918	656	96	279	396	250	169	67	54	187
102466751	8	18	8	10	24	30	32	21	2	5	5	3	5	2	1	3
107985730	4	4	2	3	3	3	8	4	0	1	1	2	1	0	0	2
100302278	1	1	0	1	0	0	1	0	0	1	0	0	0	0	0	1
645520	0	1	1	1	1	1	0	0	1	2	6	3	2	0	4	2
79501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
100996442	106	129	70	91	135	129	104	88	12	32	58	22	35	18	13	25
729737	136	173	65	105	141	143	205	123	29	64	94	64	46	17	24	44
102725121	12	17	9	10	15	22	7	10	2	8	9	4	5	3	1	6
102723897	617	1071	477	690	919	998	934	703	113	333	443	290	186	82	61	218
102465909	8	10	4	6	14	13	15	12	2	5	5	3	5	2	1	3
107985721	7	9	4	6	7	7	13	7	1	3	3	6	1	0	1	2
112268260	21	30	15	26	19	21	25	16	2	6	6	3	8	4	3	5
729759	1	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0
100132287	150	214	81	108	157	177	191	140	20	45	59	38	33	10	14	26
105378947	6	8	3	6	2	3	3	3	0	1	0	0	1	0	0	0
101928626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113219467	8731	12564	5095	6184	4940	4465	5925	1597	2022	4783	6595	5353	3203	1275	1212	4169
81399	6	5	3	5	7	6	6	5	0	1	1	0	2	0	2	4
100133331	259	392	143	214	270	287	300	211	25	78	89	52	47	11	12	38
107984841	51	52	25	34	45	54	49	31	3	14	15	13	7	5	1	11
107984847	101	127	49	76	129	113	115	69	5	37	44	21	20	9	7	24
107984849	5	6	2	5	4	5	5	3	0	1	2	1	2	1	1	1
100288069	118	138	63	111	150	177	160	120	10	34	42	20	21	8	6	21
105378580	109	100	52	99	101	109	134	93	11	24	50	24	31	12	14	25
400728	51	43	25	32	33	39	42	19	3	6	7	5	6	3	3	6
79854	146	256	109	159	180	169	190	99	14	39	83	41	9	7	5	15
643837	1012	1118	534	764	1044	1227	736	687	48	123	200	115	128	43	58	110
107984850	7	15	6	6	9	11	5	3	0	2	6	1	1	0	2	0
284593	8	9	4	4	11	8	8	9	3	8	7	4	9	2	1	5
284600	1390	1521	862	1154	2119	2189	3667	2054	7	26	33	28	17	19	5	21
100130417	202	244	134	220	438	436	612	378	3	11	16	6	6	1	5	11
107985728	233	276	186	350	589	705	640	493	9	25	43	15	31	7	8	33
148398	823	1231	770	1029	1110	1323	1184	948	34	104	160	85	55	23	23	73
26155	8069	10957	5827	6794	6667	7618	6212	4265	278	756	930	647	512	187	150	556
339451	576	803	401	485	827	912	796	554	95	267	258	163	189	76	43	141
84069	483	743	323	476	431	441	421	271	25	95	104	34	47	24	19	33
84808	90	156	55	96	85	106	95	60	4	11	14	7	13	3	3	6
57801	374	568	272	346	295	344	364	200	67	101	137	69	74	43	8	80
9636	1203	2012	1056	1262	719	924	1026	677	216	623	1181	612	401	142	214	496
375790	2472	3338	1683	2468	3447	3910	3878	2674	680	1701	1388	782	1797	674	343	863
100288175	87	114	84	123	120	115	282	154	58	181	218	182	227	88	42	159
112267874	169	201	150	229	172	200	407	227	7	21	37	24	25	10	2	19
105378948	340	453	268	395	359	360	693	391	54	171	231	147	218	86	38	138
401934	77	99	84	91	157	190	166	103	1	1	4	3	2	2	1	1
54991	189	280	91	135	341	371	262	161	139	315	498	237	215	71	100	214
254099	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
406984	7	6	3	4	4	3	9	6	0	0	1	0	0	0	1	0
406983	4	5	2	5	3	3	14	5	0	0	0	0	0	0	0	0
554210	4	16	6	10	10	12	16	10	0	1	2	0	0	1	0	2
100506376	6	3	0	2	0	6	15	6	0	0	0	0	0	0	0	0
254173	7	25	8	11	17	10	24	24	0	2	2	1	0	0	0	1
8784	4	4	11	6	4	0	10	5	32	85	94	146	57	21	13	128
7293	0	3	14	16	0	6	8	9	4	4	5	3	0	0	0	3
51150	5144	7161	3658	5053	5356	6166	5471	3649	88	178	191	166	154	44	38	167
126792	1894	2606	943	1437	2222	2649	2065	1651	96	250	324	437	253	82	94	435
388581	10	18	10	3	14	2	11	10	3	12	8	8	5	3	3	3
118424	1360	1751	808	1270	1251	1611	1279	984	396	988	1422	1246	863	289	399	986
101928895	86	139	47	96	96	140	136	85	19	36	36	46	12	9	4	27
6339	191	255	173	194	158	216	231	143	15	39	69	72	28	15	5	61
116983	1311	2281	858	1226	2442	2747	2725	1934	206	443	712	319	471	169	213	371
102465434	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	1
109623456	5	6	3	3	8	8	15	8	2	3	1	2	1	1	1	0
126789	231	415	175	196	266	337	262	201	122	362	256	219	257	90	42	162
54973	2441	3242	1366	2079	2562	2871	2233	1673	552	1556	1580	1182	922	390	272	1123
102465435	7	18	5	20	19	10	10	4	4	8	6	13	0	2	3	1
80772	947	1258	626	833	1096	1379	876	726	130	315	338	254	223	85	71	237
83756	46	52	14	42	55	75	46	36	15	26	32	27	27	11	16	22
1855	1918	2778	939	1406	1994	2239	1576	1211	582	1205	1455	960	965	367	262	687
102466740	1	1	0	3	3	2	2	0	0	0	0	0	0	0	0	0
54587	1448	2006	1021	1584	1747	1903	2573	1567	88	194	312	275	198	79	37	233
54998	1241	2269	815	1173	1093	1371	1201	786	744	1666	2132	1518	1094	378	374	1109
81669	4932	5988	3615	4859	7591	7789	9750	6396	885	2241	2318	2457	2572	830	585	2682
148413	1359	2189	1173	1446	1725	1735	1415	1016	144	338	527	383	241	75	77	284
55052	3906	5491	2333	3863	2733	3250	3010	2162	794	2136	2058	1938	1607	509	347	1589
107984868	15	20	118	168	5	17	211	140	2	7	6	13	4	4	1	2
441869	9	15	27	46	2	7	58	23	0	4	7	14	0	1	0	8
105378585	2	1	8	9	0	2	19	9	0	1	0	8	0	0	0	1
643965	0	0	3	2	0	1	3	5	0	0	2	0	0	0	0	1
102724312	50	68	20	36	132	178	104	73	0	0	7	4	1	0	1	6
107985729	91	95	58	84	272	298	150	116	2	2	4	6	4	0	2	11
64856	1020	1687	840	1133	858	1101	1213	729	54	92	130	164	75	41	13	129
219293	193	220	379	513	272	317	413	318	10	29	48	31	12	7	8	23
83858	1586	2020	990	1215	1534	1675	1410	980	183	453	738	453	297	114	132	332
55210	1788	2443	1040	1341	1830	2179	1508	1115	130	357	561	402	171	67	83	276
339453	6	5	5	4	6	7	15	5	3	3	9	0	2	0	1	1
29101	4427	5081	2435	3435	3865	4475	3777	2646	775	1945	2495	1342	1561	572	445	1346
643988	1410	2434	791	1290	2183	2386	1749	1141	98	242	276	350	253	104	53	388
105378586	25	39	24	25	41	36	30	21	3	3	8	3	3	3	1	4
